skill,purpose,status,last_reviewed,review_doc,severity,decision,notes
continuous-learning,Extract reusable insights from Socratic debates and discoveries. Capture patterns in insights/domain.md. Propose constitution amendments when recurring ambiguity detected. [EXPLICIT] Consult insights before initiating new debates. Constitution XVII. [EXPLICIT],pending,,,,,
contract-review,"Terms analysis, risk clauses, negotiation points, renewal strategy. [EXPLICIT]",pending,,,,,
conversion-optimization,"CRO: friction point analysis, trust signals, funnel optimization, A/B test design. [EXPLICIT]",pending,,,,,
copywriting,"Persuasive writing for executive audiences — value propositions, calls to action, cost-of-inaction narratives, and compelling summaries. Use when generating executive summaries, pitch narratives, scenario value propositions, recommendation justifications, or any prose that must drive a decision. [EXPLICIT]",pending,,,,,
copywriting-frameworks,"AIDA, PAS, FAB frameworks applied to marketing copy and landing pages. [EXPLICIT]",pending,,,,,
cors-configuration,"CORS policies, preflight handling, credentials, origin whitelisting. [EXPLICIT]",pending,,,,,
cost-estimation,FTE-month estimation (NEVER prices). Effort inductors. Scope drivers. Confidence ranges (optimistic/expected/pessimistic). [EXPLICIT],pending,,,,,
create-antigravity-skill,"Constructor de skills de produccion. Genera skills estructuradas con SKILL.md + references/, validacion de calidad, y estandares canonicos. Usar cuando el usuario pida ""crear skill"", nueva skill"", ""generar skill"", ""construir habilidad"", o mencione skill architecture, skill scaffolding, o skill template generation. [EXPLICIT]",pending,,,,,
creator-moat-skill,"This skill should be used when the user asks to ""create a production skill"", build a moat-level skill"", ""make a robust skill"", ""improve skill quality"", audit a skill"", or mentions skill architecture, skill quality standards, skill design patterns, or production-grade skill development. Complements the official Anthropic skill-creator by adding structural rigor, quality gates, and enterprise patterns. Use alongside or after the official skill-creator for skills that need production-grade robustness. [EXPLICIT]",pending,,,,,
cross-browser-testing,"Test and ensure cross-browser compatibility with progressive enhancement, polyfills, feature detection, and browser-specific fixes. [EXPLICIT]",pending,,,,,
cross-platform-convert,"Use when the user asks to ""convert skills to Cursor"", ""export to Codex"", convert to Gemini format"", ""port skills to another AI platform"", or ""create multi-platform skills"". [EXPLICIT] Activates when a stakeholder needs to convert MOAT skills from Claude Code format to Cursor rules, GitHub Codex AGENTS.md, Google Gemini system instructions, or other AI coding assistant formats while preserving skill logic and evidence protocols. [EXPLICIT]",pending,,,,,
css-animation,"Implements web animations using CSS keyframes, transitions, GSAP library, and the View Transitions API. Covers performance-optimized animations, reduced motion support, and scroll-driven animations. [EXPLICIT]",pending,,,,,
css-architecture,CSS methodology selection (BEM/utility-first). Custom properties system. Container queries. CSS layers. Dark mode. [EXPLICIT],pending,,,,,
cv-enhancement,"Triggers on ""improve my CV"", ""rewrite resume"", ""enhance CV"", ""make my CV better"", CV for tech role"", ""mejorar mi hoja de vida"", ""reescribir CV"", ""CV para entrevista"". Produces impact-rewritten CV using PAR framework. Output: markdown + optional branded HTML.",pending,,,,,
cv-transformer,"Transform any CV/resume into 8 polished outputs: 3 visually stunning 'WOW' versions (DOCX, HTML, PPTX), 3 ATS-optimized versions (DOCX, HTML, PPTX), plus a tailored cover letter and an optimized LinkedIn profile summary. Works in English and Spanish. Accepts CVs in any format (PDF, DOCX, TXT, image, LinkedIn export, or even pasted text). Use this skill whenever the user mentions 'CV', 'resume', 'curriculum', 'hoja de vida', 'ATS', 'job application', 'cover letter', 'LinkedIn profile', 'career document', 'optimize my resume', 'improve my CV', 'transform my resume', 'make my CV stand out', 'aplicar a trabajo', 'mejorar curriculum', or anything related to professional career documents, job applications, or professional branding. Also trigger when the user uploads a document that looks like a CV/resume, even if they don't explicitly say so.",pending,,,,,
dark-mode,"Implement dark mode with prefers-color-scheme media query, CSS custom properties, user toggle with persistence, and proper image/shadow handling. [EXPLICIT]",pending,,,,,
dashboard-design,"Dashboard layout patterns, data hierarchy, drill-down, real-time. [EXPLICIT]",pending,,,,,
data-documentation,"Data dictionaries, schema documentation, lineage tracking. [EXPLICIT]",pending,,,,,
data-engineering,"This skill should be used when the user asks to ""design data pipelines"", architect data ingestion"", ""set up orchestration"", ""plan a data lake"", or mentions Airflow, Dagster, CDC, data lineage, or pipeline SLAs. [EXPLICIT] It produces data engineering documentation covering ingestion patterns, orchestration design, storage architecture, quality frameworks, lineage, and cost management for scalable data platforms. [EXPLICIT] Use this skill whenever the user needs data platform architecture, even if they don't explicitly ask for ""data-engineering"". [EXPLICIT]",pending,,,,,
data-export,"CSV/JSON/PDF export, batch processing, scheduled report generation. [EXPLICIT]",pending,,,,,
data-flow-architecture,Firebase real-time sync patterns. Firestore triggers to Cloud Functions event chains. Data pipeline design. [EXPLICIT],pending,,,,,
data-governance,"This skill should be used when the user asks to ""build a data catalog"", define data ownership"", ""classify sensitive data"", ""design retention policies"", or mentions GDPR, CCPA, data stewardship, PII, or federated governance. [EXPLICIT] It produces governance frameworks covering catalog design, ownership models, classification taxonomies, retention policies, privacy compliance, and data mesh governance. [EXPLICIT] Use this skill whenever the user needs data governance strategy, even if they don't explicitly ask for ""data-governance"". [EXPLICIT]",pending,,,,,
data-migration,CSV/JSON import to Firestore. Batch writes (500/batch). Schema evolution. Rollback procedures. Data transformation scripts. [EXPLICIT],pending,,,,,
data-privacy-patterns,"PII detection, anonymization, GDPR compliance, consent management. [EXPLICIT]",pending,,,,,
data-quality,"This skill should be used when the user asks to ""design a data quality framework"", set up data contracts"", ""plan data validation"", ""detect data anomalies"", or mentions data profiling, quarantine patterns, or remediation workflows. [EXPLICIT] It produces data quality documentation covering profiling, validation rule engines, data contracts, anomaly detection, remediation workflows, and SLA monitoring. [EXPLICIT] Use this skill whenever the user needs data quality strategy or implementation, even if they don't explicitly ask for ""data-quality"". [EXPLICIT]",pending,,,,,
data-science-architecture,"This skill should be used when the user asks to ""design an ML system"", architect model serving"", ""set up experiment tracking"", ""design feature store"", plan MLOps pipeline"", or mentions model registry, A/B testing, drift detection, or retraining triggers. It produces end-to-end ML/AI system architecture covering model lifecycle, feature stores, experiment tracking, model serving, and MLOps pipelines. Use this skill whenever the conversation involves machine learning infrastructure or productionizing models, even if they don't explicitly ask for data science architecture"". [EXPLICIT]",pending,,,,,
data-storytelling,"Transforms metrics and findings into meaningful narratives — insight extraction, metrics-to-meaning conversion, comparison framing, and magnitude communication. [EXPLICIT] Use when presenting scoring matrices, coverage metrics, performance data, cost estimates, or any quantitative finding that needs interpretation and context. [EXPLICIT]",pending,,,,,
data-strategy,"Designs data architecture, governance frameworks, quality standards, and pipeline strategies. Covers data modeling, cataloging, lineage tracking, and analytics enablement. [EXPLICIT]",pending,,,,,
data-validation,Client-side Zod/Yup schemas. Server-side Cloud Functions validation. Firestore rules validation. End-to-end type safety. [EXPLICIT],pending,,,,,
data-visualization,"Implements data visualizations using Chart.js, D3.js, SVG, and Canvas for interactive dashboards, charts, graphs, and data-driven components. [EXPLICIT] Covers responsive charts, accessibility, and real-time data updates. [EXPLICIT]",pending,,,,,
database-architecture,Firestore document/collection modeling. Denormalization strategies. Composite indexes. Query optimization. Collection group queries. [EXPLICIT],pending,,,,,
database-design,"Designs database schemas, indexing strategies, and data models for relational and NoSQL databases with special focus on Firestore document modeling. [EXPLICIT] Covers normalization, denormalization trade-offs, and query optimization. [EXPLICIT]",pending,,,,,
dependency-analysis,Map project dependencies. Critical path. Integration touchpoints. External service deps. Circular dependency detection. [EXPLICIT],pending,,,,,
dependency-management,"Lockfiles, update strategy, Renovate/Dependabot, vulnerability scanning. [EXPLICIT]",pending,,,,,
deployment-checklist,"Execute pre-deployment validation with environment variable checks, build verification, rollback planning, and post-deploy monitoring. [EXPLICIT]",pending,,,,,
design-agent,"Design a plugin agent: role, tool allowlist, skill assignments, execution flows, operating principles. [EXPLICIT] Enforces plugin subagent constraints (no hooks/mcpServers/permissionMode in frontmatter). [EXPLICIT]",pending,,,,,
design-critique,"Structured design review, heuristic evaluation, feedback frameworks. [EXPLICIT]",pending,,,,,
design-skill,"Design a plugin skill in detail: frontmatter, procedure outline, quality criteria, anti-patterns, edge cases, tool selection. [EXPLICIT]",pending,,,,,
design-system,"This skill should be used when the user asks to ""apply design system"", generate styled HTML"", ""set up brand tokens"", ""configure brand colors"", or mentions design system, design tokens, component library, brand config, or page template. It provides a configurable design system for HTML deliverables with tokens, page structure, and component library. Use this skill whenever the conversation involves branded HTML output, visual consistency, or deliverable styling, even if they don't explicitly ask for ""design system"". [EXPLICIT]",pending,,,,,
developer-onboarding,"Onboarding checklists, ramp-up metrics, mentoring programs, buddy system. [EXPLICIT]",pending,,,,,
devsecops-architecture,"This skill should be used when the user asks to ""design the CI/CD pipeline"", integrate security into delivery"", ""set up SBOM and artifact signing"", automate compliance"", ""measure DORA metrics"", or mentions SAST, SCA, DAST, secrets scanning, IaC scanning, canary deployment, or policy-as-code. It produces DevSecOps pipeline architecture covering CI/CD design, shift-left security, supply chain integrity, release management, and compliance automation. Use this skill whenever the conversation involves build pipelines, deployment security, or delivery automation, even if they don't explicitly ask for ""devsecops architecture"". [EXPLICIT]",pending,,,,,
digital-presence,"Triggers on ""digital presence audit"", ""online presence"", ""presencia digital"", ""audit my online footprint"". Conducts online footprint audits covering search results, social profiles, domain authority, brand consistency, and reputation signals. Output: branded HTML audit report with scores. [EXPLICIT]",pending,,,,,
disaster-recovery,"RTO/RPO targets, failover testing, business continuity planning.",pending,,,,,
discovery-handover,"This skill should be used when the user asks to ""create handover"", transition to operations"", ""prepare delivery handoff"", ""activate commercial proposal"", ""hand off discovery"", ""prepare operations package"", or ""close discovery engagement"", or mentions handover, transition, delivery kickoff, proposal preparation, or discovery close-out. It generates the operational transition package that translates discovery deliverables into execution-ready artifacts including commercial activation, governance transfer, and Phase 1 kickoff plan. Use this skill whenever a discovery engagement is closing or needs to be handed to operations, even if they don't explicitly ask for discovery handover"". [EXPLICIT]",pending,,,,,
discovery-orchestration,"Orchestrates the discovery pipeline by sequencing skills, enforcing quality gates, and tracking deliverable completion. Manages the flow from initial input through analysis to validated output. [EXPLICIT]",pending,,,,,
discovery-orchestrator,Coordinates full analysis pipeline (phases 0-6). Sequences skills 009-023. Manages G1 gate. Does NOT analyze. [EXPLICIT],pending,,,,,
discovery-retrospective,"Use when the user asks to ""run a project discovery retrospective"", ""review discovery outcomes"", assess discovery effectiveness"", ""calibrate pipeline parameters"", or ""measure discovery quality"". [EXPLICIT] Activates when a stakeholder needs to conduct a quantitative post-discovery review, measure pipeline execution quality, assess deliverable completeness, evaluate estimation accuracy, or update APEX pipeline parameters based on retrospective findings. [EXPLICIT]",pending,,,,,
dns-architecture,"DNS design, failover, geo-routing, TTL strategy. [EXPLICIT]",pending,,,,,
docker-awareness,"Dockerfile patterns, compose, multi-stage builds for development awareness. [EXPLICIT]",pending,,,,,
documentation-standards,"Documentation templates, review cycles, versioning, archival policy. [EXPLICIT]",pending,,,,,
documentation-system,"Doc-as-code workflows, versioning, review cycles, CI publishing. [EXPLICIT]",pending,,,,,
domain-dns-setup,"DNS configuration for Firebase Hosting (A/CNAME), email (MX), verification (TXT), and SSL certificate management",pending,,,,,
domain-driven-design,"Applies Domain-Driven Design tactical and strategic patterns to model complex business domains. Identifies bounded contexts, aggregates, domain events, and establishes ubiquitous language shared by developers and domain experts. [EXPLICIT]",pending,,,,,
domain-management,"Manage DNS records, nameservers, SSL certificates, email routing, and domain configuration for web applications. [EXPLICIT]",pending,,,,,
dual-layer-verification,Two-layer security verification: static source analysis (grep/ESLint) + runtime browser inspection (Playwright). Catches what each layer alone misses. Required by Constitution VII for security invariants. [EXPLICIT],pending,,,,,
dynamic-sme,"This skill should be used when the user asks to ""add industry context"", act as domain expert"", ""give me the banking perspective"", ""give me the retail perspective"", ""give me the health perspective"", or mentions SME, subject matter expert, industry lens, sector analysis, or regulatory context. It is a context-adaptive industry expert that dynamically adopts the right SME lens based on client sector, providing risk overlays, benchmarks, and regulatory flags. Use this skill whenever domain-specific industry knowledge is needed for any deliverable, even if they don't explicitly ask for ""dynamic SME"". [EXPLICIT]",pending,,,,,
e2e-testing,"Cypress/Playwright E2E testing with page object model, CI integration, and visual assertions",pending,,,,,
ecommerce-frontend,"Build e-commerce frontend interfaces including product listings, shopping cart, checkout flow, and payment UI integration. Covers UX best practices for conversion. [EXPLICIT]",pending,,,,,
ecosystem-forge,"This skill should be used when the user asks to ""bootstrap an ecosystem"", audit artifact consistency"", ""create a coordinated system of skills"", verify ecosystem integrity"", or mentions ecosystem forge, artifact coordination, cross-artifact validation, or governance bootstrap. It verifies, repairs, and bootstraps interconnected artifact ecosystems including skills, rules, workflows, and naming conventions as coordinated systems. Use this skill whenever 3+ interrelated artifacts need to work together as a system, even if they don't explicitly ask for ""ecosystem forge"".",pending,,,,,
email-sending,"Send transactional and marketing emails via SendGrid, Mailgun, or SES with templates, delivery tracking, and bounce handling. [EXPLICIT]",pending,,,,,
email-template-builder,"Responsive HTML email templates. Table-based layout, inline CSS, 600px max-width. Firebase Extensions trigger. [EXPLICIT]",pending,,,,,
email-templates,"Design and build HTML email templates that render correctly across all major email clients. Covers MJML, responsive tables, inline CSS, and dark mode support. [EXPLICIT]",pending,,,,,
embedding-strategy,"Text embedding selection, similarity search, clustering, dimensionality reduction. [EXPLICIT]",pending,,,,,
empty-states,"Zero-data UI, first-use experience, placeholder content, call-to-action. [EXPLICIT]",pending,,,,,
enterprise-architecture,"This skill should be used when the user asks to ""map business capabilities"", build a technology radar"", ""define architecture governance"", prioritize strategic initiatives"", or mentions capability mapping, DDD domains, ARB, DORA metrics, or target operating model. [EXPLICIT] It generates enterprise architecture alignment artifacts including capability maps, domain decomposition, governance frameworks, technology radars, and strategic initiative roadmaps. [EXPLICIT] Use this skill whenever the user needs to align technology initiatives with business strategy, even if they don't explicitly ask for ""enterprise architecture"". [EXPLICIT]",pending,,,,,
environment-detection,"Detect IDE and model at session start. Adapt triad mode, skill loading, and capability profile. Auto-prime for optimal performance per environment. [EXPLICIT]",pending,,,,,
environment-management,"Dev/staging/prod Firebase project separation, environment variables, .env files, and CLI project aliases",pending,,,,,
error-handling,"Error handling patterns: try/catch, error boundaries, fallback UI, user-friendly error messages, offline error states. Ensures graceful degradation. [EXPLICIT]",pending,,,,,
error-handling-patterns,Centralized error handler. Custom error classes. Cloud Logging. Error reporting. Cloud Monitoring alerts. [EXPLICIT],pending,,,,,
error-messaging,"Error message taxonomy, tone, actionability, recovery guidance. [EXPLICIT]",pending,,,,,
error-recovery-automation,"Automatic retry with exponential backoff, error classification. [EXPLICIT]",pending,,,,,
etl-patterns,"Extract-transform-load pipelines, batch vs stream, error recovery. [EXPLICIT]",pending,,,,,
event-architecture,"This skill should be used when the user asks to ""design an event-driven system"", build an event catalog"", ""implement CQRS"", ""design saga patterns"", or mentions Kafka, RabbitMQ, Pulsar, event bus, dead-letter queue, or event sourcing. [EXPLICIT] It generates event-driven architecture artifacts including event catalogs, schema registry designs, consistency patterns (sagas, outbox, idempotency), CQRS models, and operational runbooks. [EXPLICIT] Use this skill whenever the user needs asynchronous messaging architecture, even if they don't explicitly ask for ""event architecture"". [EXPLICIT]",pending,,,,,
event-marketing,"Webinar design, conference strategy, speaking proposals, event follow-up. [EXPLICIT]",pending,,,,,
excellence-loop,Applies a 10-point quality rubric to every artifact with iterative refinement until excellence criteria are met. [EXPLICIT],pending,,,,,
executive-pitch,"This skill should be used when the user asks to ""create a pitch"", build a business case"", ""justify the investment"", ""present to executives"", or mentions ROI analysis, NPV, IRR, payback period, or C-level presentation. [EXPLICIT] It generates executive pitch decks with quantified problem statements, 4-pillar value propositions, 3-option comparison analysis, investment summaries with financial models, and PAS persuasion architecture. [EXPLICIT] Use this skill whenever the user needs to persuade decision-makers with data-driven narratives, even if they don't explicitly ask for ""executive pitch"". [EXPLICIT]",pending,,,,,
executive-summary,"Triggers on ""executive summary"", ""resumen ejecutivo"", ""write executive brief"", ""summarize for C-level"". Distills complex information into 1-page executive summaries with key metrics, decision points, and recommended actions. Output: formatted executive summary in markdown or HTML. [EXPLICIT]",pending,,,,,
feasibility-validation,"Performs 7-dimension technical feasibility assessment covering architecture, team capability, timeline, cost, risk, integration, and scalability. [EXPLICIT] Produces go/no-go recommendations with confidence levels. [EXPLICIT]",pending,,,,,
file-storage,"Firebase Cloud Storage. Upload with progress. Security rules. Image processing triggers (resize, watermark, thumbnails). [EXPLICIT]",pending,,,,,
file-watcher,"Detect file changes, trigger validation, auto-lint on save. [EXPLICIT]",pending,,,,,
find-skills,"Discover, evaluate, and install agent skills from the open ecosystem (skills.sh, GitHub, local plugins). Searches across Skills CLI, skills.sh leaderboard, and local plugin catalogs to recommend the best match. search skills, install skill, discover skill, skill marketplace, skills.sh.",pending,,,,,
fine-tuning-prep,"Training data curation, labeling guidelines, validation splits, quality checks. [EXPLICIT]",pending,,,,,
finops,"Financial Operations para cloud — visibilidad de costos, optimización, gobernanza, y cultura de responsabilidad financiera. Usar cuando el usuario pida ""optimizar costos cloud"", implementar FinOps"", ""gobernanza de costos"", ""cost allocation"", ""showback/chargeback"", o mencione FinOps, cloud cost management, reserved instances, savings plans, right-sizing, cost anomaly detection, o unit economics para cloud. [EXPLICIT]",pending,,,,,
firebase-architecture,"End-to-end Firebase project architecture. Firestore schema strategy, Cloud Functions topology, Hosting config, Security Rules design. C4 diagram output. [EXPLICIT]",pending,,,,,
firebase-auth,"Implement Firebase Authentication with email/password, Google, GitHub, phone, and anonymous sign-in. Covers auth state management and custom claims. [EXPLICIT]",pending,,,,,
firebase-auth-setup,"Firebase Auth: email/password, phone, anonymous, custom tokens, MFA (TOTP/SMS). Session cookies. Provider linking. [EXPLICIT]",pending,,,,,
firebase-cost-optimization,"Firestore read/write reduction, Functions cold start mitigation, Storage lifecycle rules, and billing alerts",pending,,,,,
firebase-deployment,"Deploy Firebase projects with firebase deploy, preview channels, rollback strategies, and multi-site configuration management. [EXPLICIT]",pending,,,,,
firebase-emulator-setup,"Firebase Emulator Suite configuration for Firestore, Auth, Functions, Storage, and Hosting with seed data",pending,,,,,
firebase-extensions,"Configure Firebase Extensions: Stripe payments, SendGrid email, image resize, translation, Algolia search. [EXPLICIT]",pending,,,,,
firebase-functions,"Cloud Functions development. HTTP, Firestore, Auth, Storage, scheduled triggers. 2nd gen functions. Node.js 20. [EXPLICIT]",pending,,,,,
firebase-hosting,"Deploy web apps with Firebase Hosting — configure rewrites, headers, preview channels, multi-site hosting, and CDN cache control. [EXPLICIT]",pending,,,,,
firebase-hosting-setup,"Firebase Hosting config with rewrites, redirects, headers, preview channels, custom domains, and CDN cache control",pending,,,,,
firebase-setup,"Initialize and configure Firebase projects with emulators, environment-specific configs, and proper project structure for development and production. [EXPLICIT]",pending,,,,,
firebase-storage,"Manage file uploads and downloads with Firebase Storage, including image resizing, security rules, progress tracking, and CDN delivery. [EXPLICIT]",pending,,,,,
firestore-modeling,"Design Firestore data models with collections, subcollections, denormalization strategies, and document references for optimal query performance. [EXPLICIT]",pending,,,,,
firestore-queries,"Write efficient Firestore queries with compound filters, composite indexes, cursor-based pagination, aggregation queries, and real-time listeners. [EXPLICIT]",pending,,,,,
firestore-schema-design,Document/collection design. Embedding vs subcollections. Composite indexes. TTL fields. Collection group queries. [EXPLICIT],pending,,,,,
firestore-security-rules,"Rules authoring: request.auth, request.resource, resource.data. Custom claims. Role-based. Rate limiting in rules. [EXPLICIT]",pending,,,,,
fix-common-issues,"Automatically fixes mechanical issues found during plugin validation, including JSON formatting, missing shebangs, file permissions, hook types, frontmatter gaps, and settings.json defaults. ALWAYS asks for confirmation before modifying any files. [EXPLICIT]",pending,,,,,
flow-mapping,DDD domain taxonomy + 8-12 end-to-end business flows. Sequence diagrams (Mermaid). Bounded contexts. Integration matrix. [EXPLICIT],pending,,,,,
folio-generator,"Generates numbered business documents (folios) with auto-incrementing IDs, corporate branding, and tracking. For quotations, invoices, memos. [EXPLICIT]",dod-complete,2026-05-31,docs/audits/skills/folio-generator-review.md,P1,completed-assets-deterministic,"Assets manifest, renderer, script contract, concrete examples/evals, and DoD validator pass for folio-generator."
follow-up-email,"Generates personalized follow-up emails after meetings or events, extracting action items and sending individualized messages to each responsible party. [EXPLICIT]",dod-complete,2026-05-31,docs/audits/skills/follow-up-email-review.md,P1,completed-assets-deterministic,"Assets manifest, one-recipient renderer, privacy runtime check, concrete examples/evals, and DoD validator pass for follow-up-email."
font-optimization,"Optimize web font loading with subsetting, preloading, font-display strategies, and variable fonts to eliminate FOIT/FOUT and improve performance. [EXPLICIT]",dod-complete,2026-05-31,docs/audits/skills/font-optimization-review.md,P1,completed-assets-deterministic,"Assets manifest, self-hosted font snippets, read-only font audit script, bad/good fixtures, concrete examples/evals, and DoD validator pass for font-optimization."
form-builder,"Complex form construction. Multi-step, conditional fields, validation (Zod + React Hook Form / Angular Reactive Forms), Firebase submission. [EXPLICIT]",dod-complete,2026-05-31,docs/audits/skills/form-builder-review.md,P1,completed-assets-deterministic,"Assets manifest, semantic form renderer, schema validation fixtures, concrete examples/evals, and DoD validator pass for form-builder."
form-engineering,"Implements robust web forms with client and server validation, multi-step wizards, file upload handling, accessible error messaging, and optimistic submission patterns. [EXPLICIT]",dod-complete,2026-05-31,docs/audits/skills/form-engineering-review.md,P1,completed-assets-deterministic,"Assets manifest, form engineering policy, error copy patterns, optimistic submit/upload templates, deterministic contract compiler, fixtures, concrete examples/evals, and DoD validator pass for form-engineering."
form-ux-advanced,"Multi-step forms, inline validation, smart defaults, error recovery. [EXPLICIT]",dod-complete,2026-05-31,docs/audits/skills/form-ux-advanced-review.md,P1,completed-assets-deterministic,"Assets manifest, UX heuristics, inline copy patterns, progress/recovery assets, deterministic journey audit script, fixtures, concrete examples/evals, and DoD validator pass for form-ux-advanced."
functional-spec,"Functional specifications. MVP modules, 8+ use cases, business rules, acceptance criteria. Firestore data models. [EXPLICIT]",dod-complete,2026-05-31,docs/audits/skills/functional-spec-review.md,P1,completed-assets-deterministic,"Assets manifest, spec template, use-case schema, business-rule taxonomy, acceptance criteria patterns, Firestore model template, deterministic spec compiler, fixtures, concrete examples/evals, and DoD validator pass for functional-spec."
functional-toolbelt,"This skill should be used when the user asks to ""run event storming"", create a story map"", ""extract business rules"", ""write acceptance criteria"", or mentions traceability matrix, Given/When/Then, anti-pattern detection, or requirements quality. [EXPLICIT] It provides a 6-tool functional analysis toolkit covering event storming, story mapping, business rule extraction, acceptance criteria writing, traceability matrices, and anti-pattern detection. [EXPLICIT] Use this skill whenever the user needs structured requirements engineering techniques, even if they don't explicitly ask for ""functional toolbelt"". [EXPLICIT]",dod-complete,2026-05-31,docs/audits/skills/functional-toolbelt-review.md,P1,completed-assets-deterministic,"Assets manifest, six-tool registry, templates/schemas for event storming/story mapping/rules/GWT/traceability/anti-patterns, deterministic report compiler, fixtures, concrete examples/evals, and DoD validator pass for functional-toolbelt."
funnel-analytics,"Define, audit, and optimize digital conversion funnels with event taxonomy, step denominators, drop-off analysis, segment cuts, instrumentation gaps, and experiment-ready recommendations. [EXPLICIT]",dod-complete,2026-06-05,docs/audits/skills/funnel-analytics-review.md,P1,completed-funnel-analytics-dod,"Replaced scaffold with deterministic funnel measurement contract, assets, DoD eval cases, examples, and review doc."
funnel-design,"TOFU/MOFU/BOFU content mapping, lead scoring, nurture flow design. [EXPLICIT]",pending,,,,,
genai-architecture,"Generative AI architecture — RAG patterns, LLM orchestration, multi-model tiering, agent workflow design, vector database architecture, knowledge connectors, and GenAI quality assurance. This skill should be used when the user asks to ""design RAG architecture"", ""architect LLM system"", ""select vector database"", ""design AI agents"", ""implement knowledge retrieval"", plan GenAI quality"", or mentions RAG, embeddings, vector search, LLM orchestration, agent framework, context-aware generation, hallucination reduction, or multi-model routing. [EXPLICIT]",pending,,,,,
generate-qa-report,"Generates a comprehensive QA report in Markdown combining findings from all validation and audit skills, with executive summary, categorized findings, and prioritized recommendations. [EXPLICIT]",pending,,,,,
generate-qa-scorecard,"Produces a compact executive scorecard grading a plugin across 7 quality dimensions with a letter grade, numeric score, and top 3 priority actions. [EXPLICIT]",pending,,,,,
git-hook-integration,"Pre-commit and pre-push hooks, conventional commit enforcement. [EXPLICIT]",pending,,,,,
git-workflow,"Git workflow fundamentals: branching strategy, commit conventions, PR workflow, conflict resolution, release tagging. Foundation for parallel-workflow. [EXPLICIT]",pending,,,,,
github-actions-ci,"Build CI/CD pipelines with GitHub Actions — test, lint, build, deploy workflows with matrix builds, caching, and environment management. [EXPLICIT]",pending,,,,,
gmail-mcp,"Gmail integration via MCP — search, send, draft, label, and manage emails directly from Claude Code sessions. [EXPLICIT]",pending,,,,,
google-analytics,"Implement Google Analytics 4 with custom events, conversion tracking, GTM integration, and data-driven insights for web applications. [EXPLICIT]",pending,,,,,
google-apis-integration,"Google Sheets API v4, Docs API v1, Calendar API v3, Maps JS API, YouTube Data API v3 integration patterns. [EXPLICIT]",pending,,,,,
google-calendar-mcp,"Google Calendar integration via MCP — create, manage, and query calendar events with Google Meet support. [EXPLICIT]",pending,,,,,
google-docs-mcp,"Google Docs integration via MCP — create, edit, and format documents with surgical text operations, tables, and images. [EXPLICIT]",pending,,,,,
google-drive-mcp,"Google Drive integration via MCP — upload, download, organize, search, and share files and folders. [EXPLICIT]",pending,,,,,
google-maps-integration,"Integrates Google Maps Platform APIs: Maps JavaScript API, markers and clustering, geocoding, Places API, and Directions API for location-based web applications.",pending,,,,,
google-sheets-mcp,"Google Sheets integration via MCP — read, write, and manipulate spreadsheet data for automation and analysis workflows. [EXPLICIT]",pending,,,,,
google-slides-mcp,Google Slides integration via MCP — create and manage presentations programmatically. [EXPLICIT],pending,,,,,
google-workspace-apis,"Integrate Google Workspace APIs — Sheets, Docs, Drive, Calendar, and Gmail programmatic access for automation and data workflows. [EXPLICIT]",pending,,,,,
governance-framework,"Use when the user asks to ""define governance"", ""create governance model"", set up escalation paths"", ""design authority matrix"", ""establish decision framework"", or mentions project governance, steering committee, decision framework, authority levels, escalation matrix. Triggers on: builds a governance charter, designs escalation paths, defines decision-making authority, creates steering committee structure, maps authority levels. [EXPLICIT]",pending,,,,,
grid-systems,"CSS Grid patterns, magazine layouts, asymmetric grids, breakpoint design. [EXPLICIT]",pending,,,,,
guardrails-management,"Detect, confirm, store, and enforce user-declared guidelines, constraints, and guardrails as JSON files. Pristino's internal RAG for working rules. [EXPLICIT]",pending,,,,,
health-check-automation,"System health monitoring, dependency status, resource usage alerts. [EXPLICIT]",pending,,,,,
hook-creator,"This skill should be used when the user asks to ""create a hook"", add format-on-save"", ""set up a file guard"", ""automate on tool use"", or mentions Claude Code hooks, PreToolUse, PostToolUse, or event-driven automation. [EXPLICIT] It generates Claude Code hook configurations for lifecycle events including format-on-save, file guards, notifications, and quality gates. [EXPLICIT] Use this skill whenever the user wants deterministic automation at Claude Code lifecycle points, even if they don't explicitly ask for ""hook creator"". [EXPLICIT]",pending,,,,,
hostinger-deployment,"Static site and Node.js deployment on Hostinger via SFTP/Git, cPanel/hPanel config, and PM2 process management",pending,,,,,
html-brand,"This skill should be used when the user asks to ""create a Sofka HTML document"", generate a branded report"", ""build an executive deliverable"", ""upgrade HTML to brand standards"", ""fix broken Sofka styles"", or mentions Sofka HTML, entregable, brand deliverable, Design System v4, or any combination of Sofka + document/report/ summary/analysis/roadmap. Also use when batch-upgrading existing HTML files to Sofka brand compliance, even if the user does not explicitly say ""brand"". [EXPLICIT]",pending,,,,,
html-semantic,"Implements semantic HTML5 with proper document structure, landmark elements, forms, tables, multimedia, and SEO-friendly markup. Ensures content is meaningful, accessible, and machine-readable. [EXPLICIT]",pending,,,,,
html-semantic-builder,"Semantic HTML5 page construction. Landmarks, ARIA roles, structured data (JSON-LD), Open Graph meta, accessibility. [EXPLICIT]",pending,,,,,
http-headers,"Security headers, caching headers, compression, content negotiation. [EXPLICIT]",pending,,,,,
